id	name	school	portrait_width	portrait_height	existing	portrait_source	primary_color	secondary_color
mine_halo	ミネ	trinity	1079	1516	false	standing	F59645	FFCB9E
suzumi_halo	スズミ	trinity	664	1110	false	standing	A545F5	D39EFF
reisa_halo	レイサ	trinity	570	1020	false	standing	F54586	FF9EC2
rabu_halo	ラブ	trinity	660	1270	false	standing	F54561	FF9EAE
juguang_halo	ヒカリ	highlander	466	1027	true	existing	E4F545	F6FF9E
juwang_halo	ノゾミ	highlander	536	1030	true	existing	C1F545	E3FF9E
aoba_halo	アオバ	highlander	586	1200	false	standing	F5AD45	FFD89E
kaho_halo	カホ	hyakkiyako	645	1286	false	standing	F5A545	FFD39E
chise_halo	チセ	hyakkiyako	760	1100	false	standing	45A1F5	9ED1FF
niya_halo	ニヤ	hyakkiyako	688	1356	false	standing	F54545	FF9E9E
kikyou_halo	キキョウ	hyakkiyako	746	1290	false	standing	45AEF5	9ED8FF
nagusa_halo	ナグサ	hyakkiyako	1061	1335	false	standing	F54545	FF9F9E
yukari_halo	ユカリ	hyakkiyako	1030	1227	false	standing	C945F5	E79EFF
renge_halo	レンゲ	hyakkiyako	871	1363	false	standing	F5456A	FF9EB3
umika_halo	ウミカ	hyakkiyako	635	1321	false	standing	45DBF5	9EF1FF
shizuko_halo	シズコ	hyakkiyako	720	1085	false	standing	F54566	FF9EB1
fiina_halo	フィーナ	hyakkiyako	862	1024	false	standing	F55C45	FFAB9E
izuna_halo	イズナ	hyakkiyako	657	1100	false	standing	F5459C	FF9ECE
tsukuyo_halo	ツクヨ	hyakkiyako	572	1274	false	standing	AC45F5	D79EFF
michiru_halo	ミチル	hyakkiyako	788	1060	false	standing	F5458D	FF9EC6
kaede_halo	カエデ	hyakkiyako	702	1100	false	standing	F54564	FF9EAF
tsubaki_halo	ツバキ	hyakkiyako	766	950	false	standing	F54546	FF9E9F
mimori_halo	ミモリ	hyakkiyako	756	1200	false	standing	F54565	FF9EB0
wakamo_halo	ワカモ	hyakkiyako	1013	1327	false	standing	F54549	FF9EA1
koyuki_halo	コユキ	millennium	870	1217	false	standing	F54588	FF9EC3
noa_halo	ノア	millennium	627	1134	false	standing	45A2F5	9ED1FF
yuuka_halo	ユウカ	millennium	503	1024	false	standing	45B0F5	9ED9FF
rio_halo	リオ	millennium	591	1290	false	standing	F54548	FF9EA0
tendouaris_halo	アリス	millennium	916	1035	true	existing	45F5C4	9EFFE4
midori_halo	ミドリ	millennium	905	1200	true	existing	45F566	9EFFB0
momoi_halo	モモイ	millennium	887	1054	true	existing	F54572	FF9EB7
yuzu_halo	ユズ	millennium	601	1102	true	existing	F5B345	FFDB9E
akane_halo	アカネ	millennium	664	1100	false	standing	F5AC45	FFD79E
asuna_halo	アスナ	millennium	677	1024	false	standing	45D8F5	9EEFFF
karin_halo	カリン	millennium	961	1200	false	standing	C345F5	E49EFF
toki_halo	トキ	millennium	655	1378	false	standing	45B9F5	9EDEFF
neru_halo	ネル	millennium	726	1000	false	standing	F5BE45	FFE19E
utaha_halo	ウタハ	millennium	762	1200	false	standing	F545CE	FF9EEA
kotori_halo	コトリ	millennium	587	1024	false	standing	F59245	FFC99E
hibiki_halo	ヒビキ	millennium	634	1000	false	standing	F5D445	FFED9E
kotama_halo	コタマ	millennium	512	1024	false	standing	6845F5	B29EFF
chihiro_halo	チヒロ	millennium	646	1234	false	standing	45C6F5	9EE5FF
hare_halo	ハレ	millennium	606	1024	false	standing	F5EA45	FFF99E
maki_halo	マキ	millennium	793	1100	false	standing	F5454F	FF9EA4
sumire_halo	スミレ	millennium	768	1200	false	standing	CD45F5	E99EFF
rei_halo	レイ	millennium	521	1203	false	standing	F57145	FFB79E
eimi_halo	エイミ	millennium	604	1024	false	standing	F5459F	FF9ED0
kaiyi_halo	ケイ	millennium	1105	1300	true	existing	F54585	FF9EC1
himari_halo	ヒマリ	millennium	894	1208	false	standing	F545CC	FF9EE9
cherino_halo	チェリノ	redwinter	823	1000	false	standing	45C0F5	9EE2FF
tomoe_halo	トモエ	redwinter	768	1280	false	standing	F5456C	FF9EB4
marina_halo	マリナ	redwinter	523	1048	false	standing	F5455A	FF9EAA
shigure_halo	シグレ	redwinter	535	1049	false	standing	4545F5	9E9EFF
nodoka_halo	ノドカ	redwinter	715	1001	false	standing	F55245	FFA69E
minori_halo	ミノリ	redwinter	580	1259	false	standing	45F4F5	9EFFFF
meru_halo	メル	redwinter	582	938	false	standing	E745F5	F79EFF
momiji_halo	モミジ	redwinter	666	929	false	standing	4586F5	9EC2FF
takane_halo	タカネ	redwinter	481	1160	false	standing	F54565	FF9EB0
yakumo_halo	ヤクモ	redwinter	451	1053	false	standing	45BCF5	9EE0FF
eri_halo	エリ	wildhunt	954	1536	false	standing	F5B645	FFDD9E
kanoe_halo	カノエ	wildhunt	582	1536	false	standing	F58345	FFC09E
rena_halo	レナ	wildhunt	477	1300	false	standing	F5AB45	FFD79E
fuyu_halo	フユ	wildhunt	600	1400	false	standing	F5D445	FFED9E
miyo_halo	ミヨ	wildhunt	481	1300	false	standing	96F545	CBFF9E
ritsu_halo	リツ	wildhunt	844	1300	false	standing	45F5EA	9EFFF9
saki_halo	サキ	srt	511	1298	false	standing	51F545	A5FF9E
miyako_halo	ミヤコ	srt	466	1280	false	standing	45DBF5	9EF1FF
miyu_halo	ミユ	srt	606	1304	false	standing	F54564	FF9EAF
moe_halo	モエ	srt	610	943	false	standing	F5BE45	FFE19E
otogi_halo	オトギ	srt	851	1089	false	standing	C9F545	E7FF9E
kurumi_halo	クルミ	srt	567	1163	false	standing	B1F545	DAFF9E
niko_halo	ニコ	srt	486	1391	false	standing	45AFF5	9ED9FF
ren_halo	連邦生徒会長	council	500	1474	true	existing	4590F5	9EC7FF
hatsune_miku_halo	初音ミク	collaboration	912	1280	false	standing	45E6F5	9EF7FF
misaka_mikoto_halo	御坂美琴	collaboration	356	1147	false	standing	45DAF5	9EF0FF
shokuhou_misaki_halo	食蜂操祈	collaboration	557	1204	false	standing	F55745	FFA89E
saten_ruiko_halo	佐天涙子	collaboration	438	1171	false	standing	F5D145	FFEB9E
